mean/gen/time/total_timesteps,mean/gen/train/clip_range,mean/disc/n_expert,mean/gen/train/loss,mean/disc/disc_entropy,mean/gen/train/explained_variance,mean/gen/train/learning_rate,mean/disc/disc_loss,mean/gen/train/value_loss,mean/gen/time/time_elapsed,mean/disc/disc_acc,mean/disc/disc_proportion_expert_pred,mean/gen/time/iterations,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_mean,mean/gen/train/clip_fraction,mean/disc/n_generated,mean/gen/train/n_updates,mean/disc/disc_acc_expert,mean/gen/rollout/ep_len_mean,mean/gen/train/policy_gradient_loss,mean/gen/train/entropy_loss,mean/disc/global_step,mean/gen/train/approx_kl,mean/gen/train/std,mean/gen/time/fps,mean/disc/disc_acc_gen,mean/gen/rollout/ep_rew_wrapped_mean
16384.0,0.2,1024.0,0.20876160264015198,0.6897919252514839,0.012663543,0.0004,0.6925344467163085,1.418349229033629,7.0,0.5133056640625,0.0133056640625,1.0,0.5,-74.6438177755102,0.0575927734375,1024.0,5.0,0.026611328125,293.8979591836735,-0.0016788506312877872,-5.720012933388352,1.0,0.005677559,1.0113049745559692,2236.0,1.0,
32768.0,0.2,1024.0,0.06423209607601166,0.6904882043600082,0.08043158,0.0004,0.6638345941901207,0.3148201013013022,7.0,0.6297607421875,0.1297607421875,1.0,0.5,-76.84167136,0.054150390625,1024.0,10.0,0.259521484375,294.02,-0.0025234075274056522,-5.73045057579875,2.0,0.0050512375,1.0148332118988037,2304.0,1.0,178.9856267109209
49152.0,0.2,1024.0,0.04800022393465042,0.6885690614581108,0.368308,0.0004,0.6309649497270584,0.10675245505117345,7.0,0.82403564453125,0.32464599609375,1.0,0.5,-71.78082157,0.101953125,1024.0,15.0,0.648681640625,294.02,-0.005565068222495029,-5.716132171452045,3.0,0.0081815375,1.0100408792495728,2267.0,0.9993896484375,180.42964467525482
65536.0,0.2,1024.0,-0.013000838458538055,0.6804374754428864,0.6482993,0.0004,0.5864199846982956,0.05819245807870175,7.0,0.8970947265625,0.4486083984375,1.0,0.5,-68.08300550000001,0.14273681640625,1024.0,20.0,0.845703125,291.03,-0.011151570087531582,-5.712577635422349,4.0,0.009864904,1.0095946788787842,2320.0,0.948486328125,183.6027198266983
81920.0,0.2,1024.0,0.02401965856552124,0.6660445556044579,0.66961396,0.0004,0.5575722083449364,0.13796777028037469,7.0,0.88238525390625,0.50689697265625,1.0,0.5,-66.92534117000001,0.1625244140625,1024.0,25.0,0.8892822265625,294.02,-0.012690602065049461,-5.675381541252136,5.0,0.0115431715,0.9965338706970215,2301.0,0.87548828125,186.18103490769863
98304.0,0.2,1024.0,0.09177674353122711,0.641706481575966,0.64579105,0.0004,0.5262619629502296,0.6737061277439352,6.0,0.841552734375,0.5509033203125,1.0,0.5,-59.83880203999999,0.1447021484375,1024.0,30.0,0.8924560546875001,289.03,-0.010151403141935588,-5.6277379039675,6.0,0.011559527,0.9872729778289795,2376.0,0.7906494140625,195.38778423905373
114688.0,0.2,1024.0,0.21204350888729095,0.6122702732682228,0.7588222,0.0004,0.4807409606873989,2.0296946038026364,6.0,0.83734130859375,0.54449462890625,1.0,0.5,-54.25548188,0.16685791015625,1024.0,35.0,0.8818359375,286.4,-0.013694355513871414,-5.600632700696588,7.0,0.012644975,0.9785321950912476,2418.0,0.7928466796875,205.55197301894427
131072.0,0.2,1024.0,4.6616926193237305,0.5719495266675949,0.77889824,0.0004,0.4034111388027668,4.388401941489429,6.0,0.91119384765625,0.46575927734375,1.0,0.5,-50.985929179999985,0.1022216796875,1024.0,40.0,0.876953125,295.0,-0.005413277939078398,-5.567492066696286,8.0,0.00878839,0.9701828956604004,2429.0,0.9454345703125,219.60745459794998
147456.0,0.2,1024.0,2.636857032775879,0.5264143422245979,0.9015333,0.0004,0.5708015784621239,4.280329656042158,6.0,0.7358398437499999,0.628173828125,1.0,0.5,-46.142545459999994,0.13880615234375,1024.0,45.0,0.864013671875,294.13,-0.009480327394703636,-5.5211574047803875,9.0,0.011425925,0.9586904048919678,2424.0,0.607666015625,238.326881670328
163840.0,0.2,1024.0,3.758368492126465,0.522785559296608,0.9160058,0.0004,0.359437707811594,6.574797654245049,6.0,0.8936767578124999,0.4315185546875,1.0,0.5,-42.549766479999995,0.12906494140625,1024.0,50.0,0.8251953125,292.3,-0.007932259250083007,-5.486586691811681,10.0,0.010075448,0.9550110101699829,2450.0,0.962158203125,264.3607674706636
180224.0,0.2,1024.0,3.0489649772644043,0.49063415825366974,0.85448974,0.0004,0.6052271872758865,14.472603360936045,6.0,0.687744140625,0.62890625,1.0,0.5,-41.71169844,0.081640625,1024.0,55.0,0.816650390625,288.91,-0.004372581246570917,-5.4611093763262035,11.0,0.008080084,0.9472367763519287,2466.0,0.558837890625,275.9466524752189
196608.0,0.2,1024.0,1107.7659912109375,0.46463746204972267,0.12947905,0.0004,0.648421473801136,1217.4645662644878,6.0,0.7008056640625,0.6036376953125,1.0,0.5,-41.98611042,0.11494140625,1024.0,60.0,0.804443359375,296.61,-0.0035059993744653182,-5.42730446010828,12.0,0.008382534,0.9380680322647095,2432.0,0.59716796875,294.439297478089
212992.0,0.2,1024.0,6.308687210083008,0.5933262705802917,0.36192477,0.0004,0.7005241438746452,52.48424416594207,6.0,0.5631103515625,0.6806640625,1.0,0.5,-39.05240152,0.07406005859375,1024.0,65.0,0.7437744140625,295.27,-0.0018108824322553118,-5.3896587185561655,13.0,0.008025952,0.9276282787322998,2439.0,0.3824462890625,378.0696679226049
229376.0,0.2,1024.0,1.6378976106643677,0.6178865656256676,0.6078372,0.0004,0.5525531396269798,11.125308250356465,6.0,0.7671508789062501,0.32818603515625,1.0,0.5,-43.13602231000001,0.08953857421875,1024.0,70.0,0.5953369140625,292.89,-0.0012930161925396532,-5.333090421929955,14.0,0.008057592,0.9201822280883789,2453.0,0.9389648437499999,357.3326174259973
245760.0,0.2,1024.0,0.9472427368164062,0.60324127972126,0.57904816,0.0004,0.5839287787675858,3.0608223037794233,6.0,0.68719482421875,0.37896728515624994,1.0,0.5,-45.49146819,0.06939697265625,1024.0,75.0,0.566162109375,294.63,0.0003982814108894672,-5.319866621121764,15.0,0.0058272444,0.9153501987457275,2431.0,0.8082275390625,207.03832460313114
262144.0,0.2,1024.0,0.4263508915901184,0.5637004151940345,0.81384546,0.0004,0.5058016367256641,1.8343042959226294,6.0,0.7405395507812498,0.37091064453125,1.0,0.5,-42.40640811,0.068994140625,1024.0,80.0,0.6114501953124999,297.01,-0.0002599589559395099,-5.2923158336430784,16.0,0.0061685354,0.9061530232429504,2401.0,0.86962890625,138.5539397435424
