raw/disc/disc_acc_gen,raw/disc/disc_acc,raw/disc/disc_acc_expert,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_loss,raw/disc/disc_proportion_expert_true,raw/disc/disc_entropy
1.0,0.5,0.0,0.0,1024.0,1,1024.0,0.707298994064331,0.5,0.6889055967330933
1.0,0.5,0.0,0.0,1024.0,1,1024.0,0.7028432488441467,0.5,0.6892604231834412
1.0,0.50048828125,0.0009765625,0.00048828125,1024.0,1,1024.0,0.6984955072402954,0.5,0.689538836479187
1.0,0.5029296875,0.005859375,0.0029296875,1024.0,1,1024.0,0.6950372457504272,0.5,0.6897248029708862
1.0,0.509765625,0.01953125,0.009765625,1024.0,1,1024.0,0.6901509165763855,0.5,0.690008819103241
1.0,0.5166015625,0.033203125,0.0166015625,1024.0,1,1024.0,0.6866439580917358,0.5,0.6901731491088867
1.0,0.52685546875,0.0537109375,0.02685546875,1024.0,1,1024.0,0.682762086391449,0.5,0.6902912259101868
1.0,0.5498046875,0.099609375,0.0498046875,1024.0,1,1024.0,0.677043616771698,0.5,0.6904325485229492
1.0,0.56396484375,0.1279296875,0.06396484375,1024.0,2,1024.0,0.6739263534545898,0.5,0.6903961300849915
1.0,0.57421875,0.1484375,0.07421875,1024.0,2,1024.0,0.6725485324859619,0.5,0.6906197667121887
1.0,0.60302734375,0.2060546875,0.10302734375,1024.0,2,1024.0,0.6687180995941162,0.5,0.6906247138977051
1.0,0.6142578125,0.228515625,0.1142578125,1024.0,2,1024.0,0.6668674945831299,0.5,0.6905694007873535
1.0,0.6416015625,0.283203125,0.1416015625,1024.0,2,1024.0,0.6630473136901855,0.5,0.6906004548072815
1.0,0.65185546875,0.3037109375,0.15185546875,1024.0,2,1024.0,0.6605743765830994,0.5,0.6905444860458374
1.0,0.68505859375,0.3701171875,0.18505859375,1024.0,2,1024.0,0.6540374755859375,0.5,0.6904028654098511
1.0,0.7041015625,0.408203125,0.2041015625,1024.0,2,1024.0,0.6509571075439453,0.5,0.6901478171348572
1.0,0.7412109375,0.482421875,0.2412109375,1024.0,3,1024.0,0.6471830010414124,0.5,0.690086841583252
1.0,0.767578125,0.53515625,0.267578125,1024.0,3,1024.0,0.6448814868927002,0.5,0.6899063587188721
1.0,0.8017578125,0.603515625,0.3017578125,1024.0,3,1024.0,0.6385698914527893,0.5,0.6894304752349854
0.9990234375,0.82373046875,0.6484375,0.32470703125,1024.0,3,1024.0,0.6339317560195923,0.5,0.6889317631721497
0.9990234375,0.83984375,0.6806640625,0.3408203125,1024.0,3,1024.0,0.6281812191009521,0.5,0.6883219480514526
1.0,0.86181640625,0.7236328125,0.36181640625,1024.0,3,1024.0,0.6250135898590088,0.5,0.6883552074432373
0.998046875,0.86865234375,0.7392578125,0.37060546875,1024.0,3,1024.0,0.618610680103302,0.5,0.6874231100082397
0.9990234375,0.8876953125,0.7763671875,0.388671875,1024.0,3,1024.0,0.6113479733467102,0.5,0.6860967874526978
0.9501953125,0.8603515625,0.7705078125,0.41015625,1024.0,4,1024.0,0.6133723258972168,0.5,0.685499906539917
0.9501953125,0.8837890625,0.8173828125,0.43359375,1024.0,4,1024.0,0.6052552461624146,0.5,0.6846197843551636
