2026-04-03 10:33:26 | Training started | num_expert_samples=5000
2026-04-03 10:33:26 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-03 10:43:22 | 53 | -70.6693 | 3.6084 | 0.8969 | 0.4513 | 0.4456 | -72.7071
2026-04-03 10:43:33 | 54 | -72.8223 | 3.6097 | 0.9155 | 0.4403 | 0.4752 | -65.7251
2026-04-03 10:43:44 | 55 | -65.6007 | 3.6125 | 0.8913 | 0.4411 | 0.4503 | -70.3006
2026-04-03 10:43:55 | 56 | -69.0706 | 3.6185 | 0.9058 | 0.4227 | 0.4831 | -73.1986
2026-04-03 10:44:07 | 57 | -71.1612 | 3.6035 | 0.8931 | 0.4106 | 0.4825 | -71.2438
2026-04-03 10:44:18 | 58 | -73.2694 | 3.6100 | 0.9285 | 0.4071 | 0.5214 | -69.9093
2026-04-03 10:44:29 | 59 | -67.3405 | 3.6126 | 0.8692 | 0.4078 | 0.4614 | -71.7142
2026-04-03 10:44:40 | 60 | -64.0001 | 3.6084 | 0.8900 | 0.4013 | 0.4888 | -67.3143
2026-04-03 10:44:51 | 61 | -69.7718 | 3.5989 | 0.8745 | 0.4030 | 0.4715 | -71.9709
2026-04-03 10:45:02 | 62 | -77.2968 | 3.6116 | 0.8743 | 0.3903 | 0.4840 | -66.9005
2026-04-03 10:45:13 | 63 | -66.4262 | 3.6009 | 0.8634 | 0.3915 | 0.4719 | -72.2388
2026-04-03 10:45:24 | 64 | -73.8910 | 3.5941 | 0.8141 | 0.3737 | 0.4404 | -72.0918
2026-04-03 10:45:36 | 65 | -70.6515 | 3.6008 | 0.7702 | 0.3688 | 0.4014 | -78.4234
2026-04-03 10:45:47 | 66 | -71.7077 | 3.6011 | 0.8337 | 0.3533 | 0.4804 | -71.4051
2026-04-03 10:45:58 | 67 | -76.7939 | 3.6039 | 0.8233 | 0.3494 | 0.4739 | -73.3344
2026-04-03 10:46:09 | 68 | -77.7646 | 3.5844 | 0.9379 | 0.3366 | 0.6013 | -63.2869
2026-04-03 10:46:20 | 69 | -67.1141 | 3.5956 | 0.7409 | 0.3389 | 0.4021 | -78.2543
2026-04-03 10:46:31 | 70 | -68.5667 | 3.5924 | 0.7684 | 0.3399 | 0.4285 | -77.3607
2026-04-03 10:46:42 | 71 | -68.6225 | 3.5807 | 0.8208 | 0.3392 | 0.4816 | -77.1188
2026-04-03 10:46:53 | 72 | -74.3847 | 3.5844 | 0.7906 | 0.3458 | 0.4448 | -72.9032
2026-04-03 10:47:05 | 73 | -73.3733 | 3.5749 | 0.8028 | 0.3477 | 0.4551 | -68.1942
2026-04-03 10:47:15 | 74 | -54.9699 | 3.5735 | 0.7696 | 0.3563 | 0.4133 | -75.7757
2026-04-03 10:47:27 | 75 | -72.2253 | 3.5809 | 0.8966 | 0.3728 | 0.5239 | -66.4726
2026-04-03 10:47:38 | 76 | -65.1436 | 3.5728 | 0.7749 | 0.3806 | 0.3944 | -68.6707
2026-04-03 10:47:48 | 77 | -71.1022 | 3.5831 | 0.7731 | 0.3798 | 0.3933 | -72.8845
2026-04-03 10:48:00 | 78 | -73.4153 | 3.5836 | 0.8159 | 0.3815 | 0.4344 | -73.3021
2026-04-03 10:48:11 | 79 | -71.6455 | 3.5845 | 0.7619 | 0.3589 | 0.4031 | -77.7058
2026-04-03 10:48:22 | 80 | -69.8941 | 3.5960 | 0.8266 | 0.3498 | 0.4768 | -61.7825
2026-04-03 10:48:33 | 81 | -69.7898 | 3.5743 | 0.8658 | 0.3363 | 0.5296 | -63.3949
2026-04-03 10:48:44 | 82 | -68.3932 | 3.6066 | 0.8586 | 0.3375 | 0.5211 | -66.2342
2026-04-03 10:48:55 | 83 | -62.9083 | 3.6154 | 0.8872 | 0.3415 | 0.5457 | -61.4865
2026-04-03 10:49:05 | 84 | -65.8368 | 3.6092 | 0.8970 | 0.3506 | 0.5464 | -66.6235
2026-04-03 10:49:16 | 85 | -64.1198 | 3.6503 | 0.8321 | 0.3604 | 0.4717 | -65.7943
2026-04-03 10:49:27 | 86 | -68.7498 | 3.7172 | 0.9150 | 0.3853 | 0.5297 | -66.8038
2026-04-03 10:49:38 | 87 | -69.9180 | 3.7846 | 0.9339 | 0.3922 | 0.5417 | -69.4186
2026-04-03 10:49:49 | 88 | -64.1045 | 3.8852 | 0.8380 | 0.4046 | 0.4333 | -71.5677
