raw/gen/rollout/ep_rew_mean,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/entropy_loss,raw/gen/train/clip_range,raw/gen/train/explained_variance,raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/train/approx_kl,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/loss
-29.803715450000006,292.98,475136,1,6,2429,5.410133376717567,148.04132789639732,-5.03475099131465,0.2,0.9420333,0.0004,140,0.010965449,0.15860595703125,-0.008448553468042519,0.8556289672851562,1.806679368019104
-26.52788819,290.56,491520,1,6,2408,6.091529294941575,166.97816277494468,-5.00173921212554,0.2,0.9569444,0.0004,145,0.012840471,0.15390625,-0.008523938733560499,0.845455527305603,1.8452540636062622
-25.65164848,293.55,507904,1,6,2394,4.403374226531014,143.68587374213547,-4.974578550085425,0.2,0.90412354,0.0004,150,0.009230107,0.1315673828125,-0.0036207106728397775,0.8397759199142456,0.6986318826675415
-25.530407099999998,299.62,524288,1,6,2384,3.6794080978259442,109.53574894694431,-4.933902483806014,0.2,0.81492764,0.0004,155,0.007856093,0.10238037109375,-0.004200215897071757,0.8317358493804932,2.33992862701416
-24.458243100000004,297.4,540672,1,6,2398,3.274290119251236,107.26076122183947,-4.914820357039571,0.2,0.9139306,0.0004,160,0.010962927,0.15379638671875,-0.006647299211181235,0.8298981189727783,1.3302003145217896
-22.315071309999993,290.4,557056,1,6,2398,8.805911718588323,146.08782698203612,-4.899044725671411,0.2,0.8734015,0.0004,165,0.00933542,0.11630859375,-0.005039268752079806,0.8213402032852173,10.100214004516602
-22.454957840000002,291.15,573440,1,6,2404,12.26850023418665,179.74381455585987,-4.864898455888033,0.2,0.93243235,0.0004,170,0.011918927,0.167431640625,-0.007105000390583882,0.8171817064285278,3.295044183731079
-22.507279530000005,294.32,589824,1,6,2431,17.935637102648617,209.87626392323887,-4.847153918072581,0.2,0.91721857,0.0004,175,0.012233033,0.17452392578125,-0.011867248290218412,0.8141964673995972,11.17758560180664
-23.616869150000007,294.33,606208,1,6,2448,40.760321624949576,244.78370169339163,-4.819512522220611,0.2,0.82880944,0.0004,180,0.012485403,0.15341796875,-0.006160330965212779,0.8076019287109375,15.329333305358887
-24.03855255,282.19,622592,1,6,2461,13.503444184362888,176.22975980097124,-4.797557228431105,0.2,0.5595075,0.0004,185,0.008934654,0.1194091796875,-0.002067522744255257,0.8014124035835266,9.997313499450684
-25.35387774,291.71,638976,1,6,2473,13.38502258444205,120.3722778759986,-4.7586941126734015,0.2,0.85484767,0.0004,190,0.009637223,0.121240234375,-0.001008948560775025,0.7946058511734009,3.4111647605895996
-24.82254987,289.47,655360,1,6,2483,16.243579911068082,171.6532924602494,-4.724609041959047,0.2,0.8950037,0.0004,195,0.012154462,0.1666259765625,-0.004971187686169287,0.790237307548523,3.351823329925537
-27.90621458,292.26,671744,1,6,2517,7.853351417649537,167.85137330790312,-4.690304517745972,0.2,0.8831321,0.0004,200,0.012358869,0.1759521484375,-0.008537646854892954,0.781805694103241,3.860548496246338
-28.864057179999996,290.39,688128,1,6,2512,5.7635836116969585,148.72859788924634,-4.633344933390617,0.2,0.90358573,0.0004,205,0.009976303,0.13465576171875,-0.004494752001119195,0.7708376049995422,1.5742135047912598
-24.263715409999996,295.44,704512,1,6,2487,9.74010993828997,181.62823648782688,-4.597846999391914,0.2,0.8562726,0.0004,210,0.011913775,0.1376220703125,-0.001123324572472484,0.7647470831871033,3.1678974628448486
-20.373785670000004,294.12,720896,1,6,2464,26.62936987336725,224.52695971027129,-4.568713707476855,0.2,0.90354747,0.0004,215,0.013270879,0.1378173828125,-0.002730233490365208,0.7599645256996155,32.50714874267578
-18.44405745,289.94,737280,1,6,2428,16.04686491191387,237.7487430425378,-4.533185265213251,0.2,0.964529,0.0004,220,0.013177179,0.17581787109375,-0.007308636200104956,0.7528319954872131,1.6940094232559204
-16.723554250000003,293.27,753664,1,6,2396,12.18134934362024,258.45858007126856,-4.472735637798905,0.2,0.96862507,0.0004,225,0.01422349,0.18458251953125,-0.008491640670763445,0.7395040988922119,5.4264068603515625
-17.12703818,294.76,770048,1,6,2389,5.512503219954669,271.1121791974042,-4.376890184357762,0.2,0.9341399,0.0004,230,0.014266027,0.19989013671875,-0.01036526980533381,0.7259734869003296,3.104137897491455
-17.54307959,297.58,786432,1,6,2365,2.7868749819230287,173.68773722899053,-4.314821562543512,0.2,0.85637724,0.0004,235,0.0094484985,0.13265380859375,-0.0012084392365068197,0.7164157032966614,1.4800561666488647
-16.98610878,294.53,802816,1,6,2386,2.6857902300544083,134.36141935983431,-4.261709406599403,0.2,0.8605628,0.0004,240,0.010602274,0.1393310546875,-0.004183609257597709,0.7055402994155884,0.672823429107666
-18.138086629999997,296.01,819200,1,6,2379,2.7654091690434144,144.55123917385063,-4.209021349996329,0.2,0.93921727,0.0004,245,0.011354614,0.1470703125,-0.002527453284346848,0.6949532628059387,0.4794657230377197
-18.52745251,298.14,835584,1,6,2401,1.9467815859243274,146.2043809998014,-4.145223000273108,0.2,0.88377464,0.0004,250,0.009035755,0.1133544921875,-0.0003541628931998275,0.6865039467811584,0.23927390575408936
-16.87082619,292.93,851968,1,6,2407,1.4106840694556013,116.5997351499878,-4.1020659282803535,0.2,0.8824718,0.0004,255,0.010344399,0.1299560546875,-0.0018874347948440117,0.6805902123451233,0.4474453330039978
-16.18885144,294.79,868352,1,6,2421,1.9440575508633628,99.3373837213292,-4.06871913857758,0.2,0.88245344,0.0004,260,0.013331912,0.177734375,-0.0056555770803242925,0.6758171319961548,0.3290162980556488
-17.429418839999997,294.22,884736,1,6,2430,7.840221670269966,156.41096980665435,-4.049157440662384,0.2,0.7530775,0.0004,265,0.010295583,0.12437744140625,-0.00606418310344452,0.6707124710083008,5.224465370178223
-18.880761059999998,292.33,901120,1,6,2450,41.814135774970055,286.030413650176,-4.015995299257338,0.2,0.79349536,0.0004,270,0.009325739,0.10015869140625,-0.004485861629655119,0.6650026440620422,14.127041816711426
-20.08535281,291.81,917504,1,6,2485,16.835696631483735,291.3875706838308,-3.9659659357741477,0.2,0.92568314,0.0004,275,0.011044705,0.13148193359375,-0.005744410545230494,0.6563604474067688,5.827432632446289
-21.476350820000004,293.17,933888,1,6,2490,9.704093684908003,170.54001214406134,-3.932522332854569,0.2,0.64881027,0.0004,280,0.01007566,0.115283203125,0.0035054647851211485,0.6538237929344177,2.9927785396575928
-21.216663249999996,295.08,950272,1,6,2466,3.6464007928967477,112.44367797313808,-3.884469138458371,0.2,0.787829,0.0004,285,0.010216461,0.14637451171875,0.0015692297532950762,0.6476244330406189,0.7344149351119995
-19.02465313,287.58,966656,1,6,2453,3.8082971532829104,137.3106074455508,-3.8487619288265704,0.2,0.9500886,0.0004,290,0.010152528,0.12734375,4.297748091630638e-06,0.6375467777252197,2.5581817626953125
-16.605369529999997,291.5,983040,1,6,2444,5.2330286535434425,163.74450210966302,-3.7705521054565905,0.2,0.8784631,0.0004,295,0.01196809,0.1407470703125,-0.0038530507270479577,0.6267964839935303,3.783224105834961
-16.12127996,294.53,999424,1,6,2417,6.48019839739427,177.7136961137958,-3.730708734318614,0.2,0.8973752,0.0004,300,0.011811218,0.15057373046875,-0.003068472658196697,0.622378945350647,1.5797759294509888
